TruckID,Timestamp,TempC,HumidityPct,IntervalMinutes
TRK-08,2026-07-25T04:30:00Z,-20.1,42,15.0
TRK-08,2026-07-25T04:45:00Z,-20.2,44,15.0
TRK-08,2026-07-25T05:00:00Z,-20.1,44,15.0
TRK-08,2026-07-25T05:15:00Z,-20.2,47,15.0
TRK-08,2026-07-25T05:30:00Z,-20.1,47,15.0
TRK-08,2026-07-25T05:45:00Z,-19.9,49,15.0
TRK-08,2026-07-25T06:00:00Z,-19.9,47,15.0
TRK-08,2026-07-25T06:15:00Z,-20.2,45,15.0
TRK-08,2026-07-25T06:30:00Z,-20.1,48,15.0
TRK-11,2026-07-25T06:45:00Z,-19.8,46,15.0
TRK-11,2026-07-25T07:00:00Z,-19.7,45,15.0
TRK-11,2026-07-25T07:15:00Z,-19.7,43,15.0
TRK-11,2026-07-25T07:30:00Z,-19.6,45,15.0
TRK-11,2026-07-25T07:45:00Z,-19.6,44,15.0
TRK-11,2026-07-25T08:00:00Z,-19.8,44,15.0
TRK-11,2026-07-25T08:15:00Z,-19.8,43,15.0
TRK-10,2026-07-25T08:30:00Z,-20.5,43,15.0
TRK-11,2026-07-25T08:30:00Z,-19.7,42,15.0
TRK-10,2026-07-25T08:45:00Z,-20.4,46,15.0
TRK-11,2026-07-25T08:45:00Z,-19.6,43,15.0
TRK-06,2026-07-25T09:00:00Z,4.4,51,15.0
TRK-10,2026-07-25T09:00:00Z,-20.3,42,15.0
TRK-06,2026-07-25T09:15:00Z,4.3,52,15.0
TRK-10,2026-07-25T09:15:00Z,-20.1,45,15.0
TRK-06,2026-07-25T09:30:00Z,11.0,60,15.0
TRK-08,2026-07-25T09:30:00Z,4.5,45,15.0
TRK-10,2026-07-25T09:30:00Z,-20.1,47,15.0
TRK-06,2026-07-25T09:45:00Z,9.8,66,15.0
TRK-08,2026-07-25T09:45:00Z,4.7,45,15.0
TRK-10,2026-07-25T09:45:00Z,-20.0,44,15.0
TRK-06,2026-07-25T10:00:00Z,4.2,60,15.0
TRK-08,2026-07-25T10:00:00Z,4.6,47,15.0
TRK-10,2026-07-25T10:00:00Z,-20.1,45,15.0
TRK-06,2026-07-25T10:15:00Z,4.2,55,15.0
TRK-08,2026-07-25T10:15:00Z,4.7,48,15.0
TRK-10,2026-07-25T10:15:00Z,-20.0,43,15.0
TRK-06,2026-07-25T10:30:00Z,4.4,50,15.0
TRK-08,2026-07-25T10:30:00Z,4.8,49,15.0
TRK-10,2026-07-25T10:30:00Z,-20.0,42,15.0
TRK-06,2026-07-25T10:45:00Z,4.5,48,15.0
TRK-08,2026-07-25T10:45:00Z,4.8,49,15.0
TRK-10,2026-07-25T10:45:00Z,-20.0,42,15.0
TRK-06,2026-07-25T11:00:00Z,4.4,50,15.0
TRK-08,2026-07-25T11:00:00Z,4.7,51,15.0
TRK-10,2026-07-25T11:00:00Z,-20.1,43,15.0
TRK-08,2026-07-25T11:15:00Z,4.7,51,15.0
TRK-10,2026-07-25T11:15:00Z,-20.1,46,15.0
TRK-08,2026-07-25T11:30:00Z,4.7,50,15.0
TRK-10,2026-07-25T11:30:00Z,-20.4,48,15.0
TRK-08,2026-07-25T11:45:00Z,4.7,50,15.0
TRK-12,2026-07-25T11:45:00Z,-20.9,41,15.0
TRK-08,2026-07-25T12:00:00Z,4.7,45,15.0
TRK-12,2026-07-25T12:00:00Z,-20.9,42,15.0
TRK-08,2026-07-25T12:15:00Z,4.6,42,15.0
TRK-12,2026-07-25T12:15:00Z,-20.9,41,15.0
TRK-08,2026-07-25T12:30:00Z,4.5,44,15.0
TRK-12,2026-07-25T12:30:00Z,-20.9,43,15.0
TRK-08,2026-07-25T12:45:00Z,4.5,43,15.0
TRK-12,2026-07-25T12:45:00Z,-13.5,49,15.0
TRK-07,2026-07-25T13:00:00Z,5.4,44,15.0
TRK-08,2026-07-25T13:00:00Z,4.5,44,15.0
TRK-12,2026-07-25T13:00:00Z,-20.8,44,15.0
TRK-07,2026-07-25T13:15:00Z,5.3,42,15.0
TRK-08,2026-07-25T13:15:00Z,4.6,44,15.0
TRK-12,2026-07-25T13:15:00Z,-21.0,47,15.0
TRK-07,2026-07-25T13:30:00Z,5.5,43,15.0
TRK-08,2026-07-25T13:30:00Z,4.7,47,15.0
TRK-12,2026-07-25T13:30:00Z,-20.9,48,15.0
TRK-07,2026-07-25T13:45:00Z,9.4,51,15.0
TRK-08,2026-07-25T13:45:00Z,4.8,49,15.0
TRK-12,2026-07-25T13:45:00Z,-20.8,47,15.0
TRK-07,2026-07-25T14:00:00Z,10.4,57,15.0
TRK-08,2026-07-25T14:00:00Z,4.8,47,15.0
TRK-12,2026-07-25T14:00:00Z,-20.8,47,15.0
TRK-07,2026-07-25T14:15:00Z,5.2,50,15.0
TRK-08,2026-07-25T14:15:00Z,4.8,46,15.0
TRK-12,2026-07-25T14:15:00Z,-20.7,47,15.0
TRK-07,2026-07-25T14:30:00Z,5.3,50,15.0
